# Measure capacity
# V0 = 19.888V
# t/s 	 U/V 	 I/A 	 Q/As 	 Q/mAh 	 P/W 	 W/mWh
0	19.650	2.05	0.00	0.000	0.00	0
2	19.625	2.05	4.09	1.137	40.15	22
4	19.614	2.05	8.19	2.274	40.17	45
6	19.607	2.04	12.27	3.409	40.09	67
8	19.597	2.04	16.36	4.544	40.01	89
10	19.591	2.04	20.44	5.678	40.02	111
12	19.585	2.04	24.53	6.813	40.00	133
14	19.576	2.04	28.61	7.947	39.94	156
16	19.573	2.04	32.69	9.081	39.95	178
18	19.568	2.04	36.77	10.214	39.89	200
20	19.559	2.04	40.85	11.347	39.88	222
22	19.558	2.04	44.92	12.479	39.86	244
24	19.548	2.04	49.00	13.611	39.83	266
26	19.549	2.04	53.07	14.742	39.81	288
28	19.545	2.04	57.15	15.875	39.80	310
30	19.539	2.04	61.22	17.006	39.78	332
32	19.540	2.04	65.29	18.137	39.80	354
34	19.532	2.04	69.37	19.268	39.76	376
36	19.523	2.04	73.44	20.400	39.74	398
38	19.522	2.04	77.51	21.532	39.80	420
40	19.522	2.03	81.59	22.663	39.71	442
42	19.515	2.04	85.65	23.793	39.73	464
44	19.513	2.04	89.72	24.923	39.72	486
46	19.511	2.03	93.79	26.053	39.69	508
48	19.505	2.03	97.86	27.183	39.68	530
50	19.503	2.03	101.92	28.312	39.66	552
52	19.497	2.03	105.99	29.442	39.62	574
54	19.496	2.03	110.06	30.571	39.62	596
56	19.488	2.03	114.12	31.700	39.63	618
58	19.490	2.03	118.19	32.829	39.60	640
60	19.494	2.03	122.25	33.958	39.60	662
120	19.418	2.02	243.93	67.758	39.30	1316
180	19.375	2.02	365.29	101.470	39.20	1966
240	19.341	2.02	486.42	135.117	38.99	2613
300	19.313	2.01	607.39	168.719	38.90	3258
360	19.287	2.01	728.20	202.278	38.79	3901
420	19.268	2.01	848.86	235.796	38.73	4543
480	19.242	2.01	969.39	269.275	38.63	5181
540	19.226	2.01	1089.81	302.724	38.55	5820
600	19.203	2.00	1210.10	336.139	38.48	6455
660	19.183	2.00	1330.28	369.522	38.42	7089
720	19.169	2.00	1450.34	402.871	38.33	7722
780	19.153	2.00	1570.28	436.190	38.31	8354
840	19.139	2.00	1690.13	469.481	38.20	8985
900	19.121	1.99	1809.88	502.743	38.13	9613
960	19.104	1.99	1929.51	535.976	38.09	10239
1020	19.091	1.99	2049.07	569.186	38.01	10866
1080	19.073	1.99	2168.55	602.375	37.97	11489
1140	19.066	1.99	2287.93	635.536	37.89	12117
1200	19.044	1.99	2407.22	668.672	37.85	12734
1260	19.035	1.98	2526.43	701.787	37.76	13358
1320	19.027	1.99	2645.57	734.881	37.77	13982
1380	19.013	1.98	2764.62	767.950	37.74	14601
1440	19.000	1.98	2883.61	801.004	37.67	15219
1500	18.986	1.98	3002.53	834.036	37.62	15835
1560	18.974	1.98	3121.38	867.049	37.55	16451
1620	18.962	1.98	3240.13	900.037	37.55	17066
1680	18.954	1.98	3358.83	933.009	37.48	17684
1740	18.938	1.97	3477.45	965.959	37.40	18293
1800	18.929	1.97	3596.02	998.893	37.38	18908
1860	18.917	1.97	3714.50	1031.807	37.34	19519
1920	18.905	1.97	3832.93	1064.703	37.30	20129
1980	18.894	1.97	3951.28	1097.577	37.26	20737
2040	18.882	1.97	4069.56	1130.433	37.21	21344
2100	18.872	1.97	4187.76	1163.268	37.18	21953
2160	18.860	1.97	4305.92	1196.089	37.09	22558
2220	18.849	1.97	4423.97	1228.882	37.06	23163
2280	18.832	1.97	4541.97	1261.658	37.04	23759
2340	18.822	1.96	4659.88	1294.411	36.97	24363
2400	18.812	1.96	4777.72	1327.145	36.95	24966
2460	18.796	1.96	4895.47	1359.853	36.85	25560
2520	18.787	1.96	5013.14	1392.538	36.84	26161
2580	18.768	1.96	5130.71	1425.196	36.80	26749
2640	18.757	1.96	5248.20	1457.834	36.73	27345
2700	18.744	1.96	5365.64	1490.456	36.67	27936
2760	18.731	1.95	5483.00	1523.055	36.61	28529
2820	18.719	1.95	5600.23	1555.620	36.58	29119
2880	18.703	1.95	5717.40	1588.167	36.51	29704
2940	18.693	1.95	5834.48	1620.689	36.43	30295
3000	18.674	1.95	5951.48	1653.189	36.40	30871
3060	18.662	1.95	6068.39	1685.665	36.36	31457
3120	18.651	1.95	6185.21	1718.115	36.32	32044
3180	18.632	1.95	6301.95	1750.541	36.24	32616
3240	18.594	1.94	6418.49	1782.915	36.11	33152
3300	18.574	1.94	6534.88	1815.244	35.97	33716
3360	18.560	1.94	6651.18	1847.550	35.96	34290
3420	18.552	1.94	6767.37	1879.826	35.91	34874
3480	18.532	1.93	6883.46	1912.071	35.84	35435
3540	18.516	1.93	6999.46	1944.294	35.81	36001
3600	18.502	1.93	7115.36	1976.489	35.71	36569
3660	18.485	1.93	7231.17	2008.658	35.64	37130
3720	18.466	1.93	7346.89	2040.803	35.62	37686
3780	18.451	1.93	7462.49	2072.914	35.55	38248
3840	18.435	1.92	7578.01	2105.002	35.48	38805
3900	18.420	1.92	7693.43	2137.064	35.44	39365
